"","genus","family","order","richness"
"Merendera","Merendera","Colchicaceae","Liliales",1
"Ornithoglossum","Ornithoglossum","Colchicaceae","Liliales",8
"Sandersonia","Sandersonia","Colchicaceae","Liliales",1
"Schelhammera","Schelhammera","Colchicaceae","Liliales",2
"Tripladenia","Tripladenia","Colchicaceae","Liliales",1
"Wurmbea","Wurmbea","Colchicaceae","Liliales",49
"Columellia","Columellia","Columelliaceae","Bruniales",5
"Desfontainia","Desfontainia","Columelliaceae","Bruniales",3
"Anogeissus","Anogeissus","Combretaceae","Myrtales",9
"Buchenavia","Buchenavia","Combretaceae","Myrtales",30
"Bucida","Bucida","Combretaceae","Myrtales",6
"Combretum","Combretum","Combretaceae","Myrtales",286
"Conocarpus","Conocarpus","Combretaceae","Myrtales",2
"Dansiea","Dansiea","Combretaceae","Myrtales",2
"Getonia","Getonia","Combretaceae","Myrtales",1
"Guiera","Guiera","Combretaceae","Myrtales",1
"Laguncularia","Laguncularia","Combretaceae","Myrtales",1
"Lumnitzera","Lumnitzera","Combretaceae","Myrtales",2
"Meiostemon","Meiostemon","Combretaceae","Myrtales",2
"Pteleopsis","Pteleopsis","Combretaceae","Myrtales",3
"Quisqualis","Quisqualis","Combretaceae","Myrtales",13
"Terminalia","Terminalia","Combretaceae","Myrtales",54
"Thiloa","Thiloa","Combretaceae","Myrtales",2
"Aetheolirion","Aetheolirion","Commelinaceae","Commelinales",1
"Amischotolype","Amischotolype","Commelinaceae","Commelinales",10
"Aneilema","Aneilema","Commelinaceae","Commelinales",62
"Anthericopsis","Anthericopsis","Commelinaceae","Commelinales",1
"Belosynapsis","Belosynapsis","Commelinaceae","Commelinales",6
"Buforrestia","Buforrestia","Commelinaceae","Commelinales",3
"Callisia","Callisia","Commelinaceae","Commelinales",20
"Cartonema","Cartonema","Commelinaceae","Commelinales",7
"Cochliostema","Cochliostema","Commelinaceae","Commelinales",2
"Coleotrype","Coleotrype","Commelinaceae","Commelinales",9
"Commelina","Commelina","Commelinaceae","Commelinales",214
"Cyanotis","Cyanotis","Commelinaceae","Commelinales",51
"Dichorisandra","Dichorisandra","Commelinaceae","Commelinales",38
"Dictyospermum","Dictyospermum","Commelinaceae","Commelinales",5
"Elasis","Elasis","Commelinaceae","Commelinales",1
"Floscopa","Floscopa","Commelinaceae","Commelinales",22
"Geogenanthus","Geogenanthus","Commelinaceae","Commelinales",3
"Gibasis","Gibasis","Commelinaceae","Commelinales",14
"Gibasoides","Gibasoides","Commelinaceae","Commelinales",1
"Matudanthus","Matudanthus","Commelinaceae","Commelinales",1
"Murdannia","Murdannia","Commelinaceae","Commelinales",51
"Palisota","Palisota","Commelinaceae","Commelinales",25
"Plowmanianthus","Plowmanianthus","Commelinaceae","Commelinales",5
"Pollia","Pollia","Commelinaceae","Commelinales",22
"Polyspatha","Polyspatha","Commelinaceae","Commelinales",2
"Porandra","Porandra","Commelinaceae","Commelinales",3
"Pseudoparis","Pseudoparis","Commelinaceae","Commelinales",3
"Rhopalephora","Rhopalephora","Commelinaceae","Commelinales",4
"Sauvallea","Sauvallea","Commelinaceae","Commelinales",1
"Siderasis","Siderasis","Commelinaceae","Commelinales",1
"Spatholirion","Spatholirion","Commelinaceae","Commelinales",6
"Stanfieldiella","Stanfieldiella","Commelinaceae","Commelinales",4
"Streptolirion","Streptolirion","Commelinaceae","Commelinales",1
"Tapheocarpa","Tapheocarpa","Commelinaceae","Commelinales",1
"Thyrsanthemum","Thyrsanthemum","Commelinaceae","Commelinales",3
"Tinantia","Tinantia","Commelinaceae","Commelinales",13
"Tradescantia","Tradescantia","Commelinaceae","Commelinales",75
"Tricarpelema","Tricarpelema","Commelinaceae","Commelinales",8
"Triceratella","Triceratella","Commelinaceae","Commelinales",1
"Tripogandra","Tripogandra","Commelinaceae","Commelinales",22
"Weldenia","Weldenia","Commelinaceae","Commelinales",1
"Aaronsohnia","Aaronsohnia","Asteraceae","Asterales",2
"Abrotanella","Abrotanella","Asteraceae","Asterales",20
"Acamptopappus","Acamptopappus","Asteraceae","Asterales",2
"Acanthocephalus","Acanthocephalus","Asteraceae","Asterales",2
"Acanthocladium","Acanthocladium","Asteraceae","Asterales",1
"Acanthodesmos","Acanthodesmos","Asteraceae","Asterales",1
"Acanthospermum","Acanthospermum","Asteraceae","Asterales",6
"Achaetogeron","Achaetogeron","Asteraceae","Asterales",1
"Achillea","Achillea","Asteraceae","Asterales",145
"Achnophora","Achnophora","Asteraceae","Asterales",1
"Achnopogon","Achnopogon","Asteraceae","Asterales",2
"Achyrachaena","Achyrachaena","Asteraceae","Asterales",1
"Achyrocline","Achyrocline","Asteraceae","Asterales",42
"Achyropappus","Achyropappus","Asteraceae","Asterales",1
"Achyrophorus","Achyrophorus","Asteraceae","Asterales",1
"Achyroseris","Achyroseris","Asteraceae","Asterales",1
"Acilepidopsis","Acilepidopsis","Asteraceae","Asterales",1
"Acmella","Acmella","Asteraceae","Asterales",31
"Acomis","Acomis","Asteraceae","Asterales",4
"Acourtia","Acourtia","Asteraceae","Asterales",83
"Acrisione","Acrisione","Asteraceae","Asterales",2
"Acritopappus","Acritopappus","Asteraceae","Asterales",15
"Actinella","Actinella","Asteraceae","Asterales",1
"Actinobole","Actinobole","Asteraceae","Asterales",4
"Actinoseris","Actinoseris","Asteraceae","Asterales",1
"Actinospermum","Actinospermum","Asteraceae","Asterales",1
"Actites","Actites","Asteraceae","Asterales",1
"Adelostigma","Adelostigma","Asteraceae","Asterales",2
"Adenanthellum","Adenanthellum","Asteraceae","Asterales",1
"Adenocaulon","Adenocaulon","Asteraceae","Asterales",5
"Adenocritonia","Adenocritonia","Asteraceae","Asterales",1
"Adenoglossa","Adenoglossa","Asteraceae","Asterales",1
"Adenoon","Adenoon","Asteraceae","Asterales",1
"Adenopappus","Adenopappus","Asteraceae","Asterales",1
"Adenophyllum","Adenophyllum","Asteraceae","Asterales",10
"Adenostemma","Adenostemma","Asteraceae","Asterales",25
"Adenostyles","Adenostyles","Asteraceae","Asterales",10
"Adenothamnus","Adenothamnus","Asteraceae","Asterales",1
"Aedesia","Aedesia","Asteraceae","Asterales",3
"Aegopordon","Aegopordon","Asteraceae","Asterales",1
"Aequatorium","Aequatorium","Asteraceae","Asterales",23
"Aetheolaena","Aetheolaena","Asteraceae","Asterales",16
"Aetheorhiza","Aetheorhiza","Asteraceae","Asterales",1
"Ageratella","Ageratella","Asteraceae","Asterales",1
"Ageratina","Ageratina","Asteraceae","Asterales",265
"Ageratinastrum","Ageratinastrum","Asteraceae","Asterales",4
"Ageratum","Ageratum","Asteraceae","Asterales",46
"Agnorhiza","Agnorhiza","Asteraceae","Asterales",5
"Agoseris","Agoseris","Asteraceae","Asterales",11
"Agrianthus","Agrianthus","Asteraceae","Asterales",9
"Ainsliaea","Ainsliaea","Asteraceae","Asterales",69
"Ajania","Ajania","Asteraceae","Asterales",37
"Ajaniopsis","Ajaniopsis","Asteraceae","Asterales",1
"Akeassia","Akeassia","Asteraceae","Asterales",1
"Alatoseta","Alatoseta","Asteraceae","Asterales",1
"Albertinia","Albertinia","Asteraceae","Asterales",1
"Aldama","Aldama","Asteraceae","Asterales",2
"Alepidocline","Alepidocline","Asteraceae","Asterales",4
"Alfredia","Alfredia","Asteraceae","Asterales",8
"Aliella","Aliella","Asteraceae","Asterales",3
"Allagopappus","Allagopappus","Asteraceae","Asterales",1
"Allardia","Allardia","Asteraceae","Asterales",2
"Allittia","Allittia","Asteraceae","Asterales",2
"Alloispermum","Alloispermum","Asteraceae","Asterales",16
"Allopterigeron","Allopterigeron","Asteraceae","Asterales",1
"Almutaster","Almutaster","Asteraceae","Asterales",1
"Alomia","Alomia","Asteraceae","Asterales",6
"Alomiella","Alomiella","Asteraceae","Asterales",2
"Alvordia","Alvordia","Asteraceae","Asterales",4
"Amauria","Amauria","Asteraceae","Asterales",3
"Amauriopsis","Amauriopsis","Asteraceae","Asterales",1
"Amberboa","Amberboa","Asteraceae","Asterales",8
"Amblyocarpum","Amblyocarpum","Asteraceae","Asterales",1
"Amblyolepis","Amblyolepis","Asteraceae","Asterales",1
"Amblyopappus","Amblyopappus","Asteraceae","Asterales",1
"Amblysperma","Amblysperma","Asteraceae","Asterales",1
"Amboroa","Amboroa","Asteraceae","Asterales",2
"Ambrosia","Ambrosia","Asteraceae","Asterales",50
"Ameghinoa","Ameghinoa","Asteraceae","Asterales",1
"Amellus","Amellus","Asteraceae","Asterales",12
"Ammobium","Ammobium","Asteraceae","Asterales",2
"Amolinia","Amolinia","Asteraceae","Asterales",1
"Ampelaster","Ampelaster","Asteraceae","Asterales",1
"Amphiachyris","Amphiachyris","Asteraceae","Asterales",2
"Amphidoxa","Amphidoxa","Asteraceae","Asterales",1
"Amphiglossa","Amphiglossa","Asteraceae","Asterales",11
"Amphipappus","Amphipappus","Asteraceae","Asterales",1
"Amphoricarpos","Amphoricarpos","Asteraceae","Asterales",5
"Anacantha","Anacantha","Asteraceae","Asterales",3
"Anacyclus","Anacyclus","Asteraceae","Asterales",12
"Anaphalioides","Anaphalioides","Asteraceae","Asterales",7
"Anaphalis","Anaphalis","Asteraceae","Asterales",109
"Anastraphia","Anastraphia","Asteraceae","Asterales",6
"Anaxeton","Anaxeton","Asteraceae","Asterales",10
"Ancathia","Ancathia","Asteraceae","Asterales",1
"Ancistrocarphus","Ancistrocarphus","Asteraceae","Asterales",2
"Anderbergia","Anderbergia","Asteraceae","Asterales",6
"Andryala","Andryala","Asteraceae","Asterales",19
"Anemocarpa","Anemocarpa","Asteraceae","Asterales",3
"Angelphytum","Angelphytum","Asteraceae","Asterales",16
"Angianthus","Angianthus","Asteraceae","Asterales",19
"Anisocarpus","Anisocarpus","Asteraceae","Asterales",2
"Anisochaeta","Anisochaeta","Asteraceae","Asterales",1
"Anisocoma","Anisocoma","Asteraceae","Asterales",1
"Anisopappus","Anisopappus","Asteraceae","Asterales",36
"Anisothrix","Anisothrix","Asteraceae","Asterales",2
"Antennaria","Antennaria","Asteraceae","Asterales",60
"Anteremanthus","Anteremanthus","Asteraceae","Asterales",1
"Anthematricaria","Anthematricaria","Asteraceae","Asterales",1
"Anthemimatricaria","Anthemimatricaria","Asteraceae","Asterales",3
"Anthemis","Anthemis","Asteraceae","Asterales",172
"Antheropeas","Antheropeas","Asteraceae","Asterales",2
"Antillanthus","Antillanthus","Asteraceae","Asterales",17
"Antillia","Antillia","Asteraceae","Asterales",1
"Antiphiona","Antiphiona","Asteraceae","Asterales",2
"Antithrixia","Antithrixia","Asteraceae","Asterales",1
"Anura","Anura","Asteraceae","Asterales",1
"Anvillea","Anvillea","Asteraceae","Asterales",2
"Apalochlamys","Apalochlamys","Asteraceae","Asterales",1
"Aphanactis","Aphanactis","Asteraceae","Asterales",9
"Aphanostephus","Aphanostephus","Asteraceae","Asterales",8
"Aphyllocladus","Aphyllocladus","Asteraceae","Asterales",5
"Aplopappus","Aplopappus","Asteraceae","Asterales",2
"Apodocephala","Apodocephala","Asteraceae","Asterales",9
"Apopyros","Apopyros","Asteraceae","Asterales",2
"Aposeris","Aposeris","Asteraceae","Asterales",1
"Apostates","Apostates","Asteraceae","Asterales",1
"Arbelaezaster","Arbelaezaster","Asteraceae","Asterales",1
"Archibaccharis","Archibaccharis","Asteraceae","Asterales",36
"Arctanthemum","Arctanthemum","Asteraceae","Asterales",4
"Arctium","Arctium","Asteraceae","Asterales",18
"Arctogeron","Arctogeron","Asteraceae","Asterales",1
"Arctotheca","Arctotheca","Asteraceae","Asterales",5
"Arctotis","Arctotis","Asteraceae","Asterales",69
"Argentipallium","Argentipallium","Asteraceae","Asterales",6
"Argyranthemum","Argyranthemum","Asteraceae","Asterales",24
"Argyroglottis","Argyroglottis","Asteraceae","Asterales",1
"Argyrotegium","Argyrotegium","Asteraceae","Asterales",4
"Argyroxiphium","Argyroxiphium","Asteraceae","Asterales",3
"Arida","Arida","Asteraceae","Asterales",9
"Aristeguietia","Aristeguietia","Asteraceae","Asterales",21
"Arnaldoa","Arnaldoa","Asteraceae","Asterales",3
"Arnica","Arnica","Asteraceae","Asterales",32
"Arnicastrum","Arnicastrum","Asteraceae","Asterales",2
"Arnoglossum","Arnoglossum","Asteraceae","Asterales",8
"Arnoseris","Arnoseris","Asteraceae","Asterales",1
"Arrhenechthites","Arrhenechthites","Asteraceae","Asterales",7
"Arrojadocharis","Arrojadocharis","Asteraceae","Asterales",2
"Arrowsmithia","Arrowsmithia","Asteraceae","Asterales",1
"Artemisia","Artemisia","Asteraceae","Asterales",474
"Artemisiella","Artemisiella","Asteraceae","Asterales",1
"Artemisiopsis","Artemisiopsis","Asteraceae","Asterales",1
"Ascidiogyne","Ascidiogyne","Asteraceae","Asterales",2
"Aspilia","Aspilia","Asteraceae","Asterales",103
"Asplundianthus","Asplundianthus","Asteraceae","Asterales",10
"Aster","Aster","Asteraceae","Asterales",214
"Asteridea","Asteridea","Asteraceae","Asterales",11
"Asteriscus","Asteriscus","Asteraceae","Asterales",11
"Asteropsis","Asteropsis","Asteraceae","Asterales",1
"Asterothamnus","Asterothamnus","Asteraceae","Asterales",7
"Astranthium","Astranthium","Asteraceae","Asterales",12
"Athanasia","Athanasia","Asteraceae","Asterales",40
"Atherotoma","Atherotoma","Asteraceae","Asterales",1
"Athrixia","Athrixia","Asteraceae","Asterales",15
"Athroisma","Athroisma","Asteraceae","Asterales",12
"Atractylis","Atractylis","Asteraceae","Asterales",29
"Atractylodes","Atractylodes","Asteraceae","Asterales",8
"Atrichantha","Atrichantha","Asteraceae","Asterales",1
"Atrichoseris","Atrichoseris","Asteraceae","Asterales",1
"Aucklandia","Aucklandia","Asteraceae","Asterales",1
"Austrobrickellia","Austrobrickellia","Asteraceae","Asterales",2
"Austrocritonia","Austrocritonia","Asteraceae","Asterales",4
"Austroeupatorium","Austroeupatorium","Asteraceae","Asterales",8
"Austroliabum","Austroliabum","Asteraceae","Asterales",3
"Austrosynotis","Austrosynotis","Asteraceae","Asterales",1
"Avellara","Avellara","Asteraceae","Asterales",1
"Axiniphyllum","Axiniphyllum","Asteraceae","Asterales",6
"Ayapana","Ayapana","Asteraceae","Asterales",17
"Ayapanopsis","Ayapanopsis","Asteraceae","Asterales",16
"Aylacophora","Aylacophora","Asteraceae","Asterales",1
"Aztecaster","Aztecaster","Asteraceae","Asterales",2
"Baccharidastrum","Baccharidastrum","Asteraceae","Asterales",1
"Baccharis","Baccharis","Asteraceae","Asterales",407
"Badilloa","Badilloa","Asteraceae","Asterales",11
"Baeriopsis","Baeriopsis","Asteraceae","Asterales",1
"Bafutia","Bafutia","Asteraceae","Asterales",1
"Bahia","Bahia","Asteraceae","Asterales",14
"Bahianthus","Bahianthus","Asteraceae","Asterales",1
"Bahiopsis","Bahiopsis","Asteraceae","Asterales",10
"Baileya","Baileya","Asteraceae","Asterales",3
"Bajacalia","Bajacalia","Asteraceae","Asterales",3
"Balduina","Balduina","Asteraceae","Asterales",3
"Balsamorhiza","Balsamorhiza","Asteraceae","Asterales",13
"Baltimora","Baltimora","Asteraceae","Asterales",2
"Barkleyanthus","Barkleyanthus","Asteraceae","Asterales",1
"Barnadesia","Barnadesia","Asteraceae","Asterales",19
"Barrosoa","Barrosoa","Asteraceae","Asterales",10
"Bartlettia","Bartlettia","Asteraceae","Asterales",1
"Bartlettina","Bartlettina","Asteraceae","Asterales",31
"Basedowia","Basedowia","Asteraceae","Asterales",1
"Batopilasia","Batopilasia","Asteraceae","Asterales",1
"Bebbia","Bebbia","Asteraceae","Asterales",2
"Bedfordia","Bedfordia","Asteraceae","Asterales",3
"Bejaranoa","Bejaranoa","Asteraceae","Asterales",1
"Bellida","Bellida","Asteraceae","Asterales",1
"Bellidastrum","Bellidastrum","Asteraceae","Asterales",1
"Bellis","Bellis","Asteraceae","Asterales",10
"Bellium","Bellium","Asteraceae","Asterales",3
"Belloa","Belloa","Asteraceae","Asterales",17
"Benitoa","Benitoa","Asteraceae","Asterales",1
"Berkheya","Berkheya","Asteraceae","Asterales",80
"Berlandiera","Berlandiera","Asteraceae","Asterales",8
"Berroa","Berroa","Asteraceae","Asterales",1
"Berylsimpsonia","Berylsimpsonia","Asteraceae","Asterales",2
"Bethencourtia","Bethencourtia","Asteraceae","Asterales",1
"Bidens","Bidens","Asteraceae","Asterales",247
"Bigelowia","Bigelowia","Asteraceae","Asterales",4
"Bishopalea","Bishopalea","Asteraceae","Asterales",1
"Bishopanthus","Bishopanthus","Asteraceae","Asterales",1
"Bishopiella","Bishopiella","Asteraceae","Asterales",1
"Bishovia","Bishovia","Asteraceae","Asterales",1
"Blainvillea","Blainvillea","Asteraceae","Asterales",10
"Blakeanthus","Blakeanthus","Asteraceae","Asterales",1
"Blakiella","Blakiella","Asteraceae","Asterales",1
"Blanchetia","Blanchetia","Asteraceae","Asterales",1
"Blennosperma","Blennosperma","Asteraceae","Asterales",2
"Blennospora","Blennospora","Asteraceae","Asterales",3
"Blepharipappus","Blepharipappus","Asteraceae","Asterales",3
"Blepharispermum","Blepharispermum","Asteraceae","Asterales",16
"Blepharizonia","Blepharizonia","Asteraceae","Asterales",2
"Blumea","Blumea","Asteraceae","Asterales",108
"Blumeopsis","Blumeopsis","Asteraceae","Asterales",2
"Boeberastrum","Boeberastrum","Asteraceae","Asterales",3
"Boeberoides","Boeberoides","Asteraceae","Asterales",1
"Bolandia","Bolandia","Asteraceae","Asterales",2
"Bolocephalus","Bolocephalus","Asteraceae","Asterales",1
"Boltonia","Boltonia","Asteraceae","Asterales",5
"Bombycilaena","Bombycilaena","Asteraceae","Asterales",2
"Borrichia","Borrichia","Asteraceae","Asterales",4
"Bothriocline","Bothriocline","Asteraceae","Asterales",62
"Brachanthemum","Brachanthemum","Asteraceae","Asterales",10
"Brachionostylum","Brachionostylum","Asteraceae","Asterales",1
"Brachyactis","Brachyactis","Asteraceae","Asterales",3
"Brachyclados","Brachyclados","Asteraceae","Asterales",3
"Brachycome","Brachycome","Asteraceae","Asterales",1
"Brachyglottis","Brachyglottis","Asteraceae","Asterales",39
"Brachylaena","Brachylaena","Asteraceae","Asterales",13
"Brachyscome","Brachyscome","Asteraceae","Asterales",76
"Brachythrix","Brachythrix","Asteraceae","Asterales",6
"Bradburia","Bradburia","Asteraceae","Asterales",2
"Breea","Breea","Asteraceae","Asterales",2
"Brickellia","Brickellia","Asteraceae","Asterales",98
"Brintonia","Brintonia","Asteraceae","Asterales",1
"Bryomorphe","Bryomorphe","Asteraceae","Asterales",1
"Buphthalmum","Buphthalmum","Asteraceae","Asterales",2
"Burkartia","Burkartia","Asteraceae","Asterales",1
"Caatinganthus","Caatinganthus","Asteraceae","Asterales",2
"Cabreriella","Cabreriella","Asteraceae","Asterales",2
"Cacalia","Cacalia","Asteraceae","Asterales",7
"Cacaliopsis","Cacaliopsis","Asteraceae","Asterales",1
"Cacosmia","Cacosmia","Asteraceae","Asterales",3
"Cadiscus","Cadiscus","Asteraceae","Asterales",1
"Caesulia","Caesulia","Asteraceae","Asterales",1
"Calanticaria","Calanticaria","Asteraceae","Asterales",4
"Calcitrapa","Calcitrapa","Asteraceae","Asterales",1
"Calea","Calea","Asteraceae","Asterales",148
"Calendula","Calendula","Asteraceae","Asterales",11
"Calimeris","Calimeris","Asteraceae","Asterales",2
"Callicephalus","Callicephalus","Asteraceae","Asterales",1
"Callilepis","Callilepis","Asteraceae","Asterales",5
"Callistephus","Callistephus","Asteraceae","Asterales",2
"Calocephalus","Calocephalus","Asteraceae","Asterales",8
"Calomeria","Calomeria","Asteraceae","Asterales",2
"Calopappus","Calopappus","Asteraceae","Asterales",1
"Calostephane","Calostephane","Asteraceae","Asterales",6
"Calotesta","Calotesta","Asteraceae","Asterales",1
"Calotis","Calotis","Asteraceae","Asterales",27
"Calycadenia","Calycadenia","Asteraceae","Asterales",10
"Calycoseris","Calycoseris","Asteraceae","Asterales",2
"Calyptocarpus","Calyptocarpus","Asteraceae","Asterales",6
"Camchaya","Camchaya","Asteraceae","Asterales",8
"Campovassouria","Campovassouria","Asteraceae","Asterales",1
"Camptacra","Camptacra","Asteraceae","Asterales",3
"Campuloclinium","Campuloclinium","Asteraceae","Asterales",6
"Canadanthus","Canadanthus","Asteraceae","Asterales",1
"Cancrinia","Cancrinia","Asteraceae","Asterales",12
"Cancriniella","Cancriniella","Asteraceae","Asterales",1
"Capelio","Capelio","Asteraceae","Asterales",4
"Cardopatium","Cardopatium","Asteraceae","Asterales",2
"Carduncellus","Carduncellus","Asteraceae","Asterales",2
"Carduocirsium","Carduocirsium","Asteraceae","Asterales",3
"Carduogalactites","Carduogalactites","Asteraceae","Asterales",1
"Carduus","Carduus","Asteraceae","Asterales",127
"Carelia","Carelia","Asteraceae","Asterales",3
"Carlina","Carlina","Asteraceae","Asterales",34
"Carlquistia","Carlquistia","Asteraceae","Asterales",1
"Carminatia","Carminatia","Asteraceae","Asterales",3
"Carpesium","Carpesium","Asteraceae","Asterales",24
"Carphephorus","Carphephorus","Asteraceae","Asterales",8
"Carphochaete","Carphochaete","Asteraceae","Asterales",6
"Carramboa","Carramboa","Asteraceae","Asterales",7
"Carthamus","Carthamus","Asteraceae","Asterales",45
"Cassinia","Cassinia","Asteraceae","Asterales",38
"Castanedia","Castanedia","Asteraceae","Asterales",1
"Castrilanthemum","Castrilanthemum","Asteraceae","Asterales",1
"Castroviejoa","Castroviejoa","Asteraceae","Asterales",2
"Catamixis","Catamixis","Asteraceae","Asterales",1
"Catananche","Catananche","Asteraceae","Asterales",5
"Catatia","Catatia","Asteraceae","Asterales",2
"Catolesia","Catolesia","Asteraceae","Asterales",1
"Caucasalia","Caucasalia","Asteraceae","Asterales",4
"Cavalcantia","Cavalcantia","Asteraceae","Asterales",2
"Cavea","Cavea","Asteraceae","Asterales",1
"Caxamarca","Caxamarca","Asteraceae","Asterales",1
"Celmearia","Celmearia","Asteraceae","Asterales",1
"Celmisia","Celmisia","Asteraceae","Asterales",79
"Centaurea","Centaurea","Asteraceae","Asterales",687
"Centaurodendron","Centaurodendron","Asteraceae","Asterales",2
"Centauropsis","Centauropsis","Asteraceae","Asterales",8
"Centaurothamnus","Centaurothamnus","Asteraceae","Asterales",1
"Centauserratula","Centauserratula","Asteraceae","Asterales",1
"Centipeda","Centipeda","Asteraceae","Asterales",11
"Centratherum","Centratherum","Asteraceae","Asterales",5
"Centromadia","Centromadia","Asteraceae","Asterales",3
"Cephalipterum","Cephalipterum","Asteraceae","Asterales",1
"Cephalonoplos","Cephalonoplos","Asteraceae","Asterales",1
"Cephalopappus","Cephalopappus","Asteraceae","Asterales",1
"Cephalophora","Cephalophora","Asteraceae","Asterales",1
"Cephalorrhynchus","Cephalorrhynchus","Asteraceae","Asterales",10
"Cephalosorus","Cephalosorus","Asteraceae","Asterales",1
"Ceratocephalus","Ceratocephalus","Asteraceae","Asterales",2
"Ceratogyne","Ceratogyne","Asteraceae","Asterales",1
"Ceruana","Ceruana","Asteraceae","Asterales",1
"Chaenactis","Chaenactis","Asteraceae","Asterales",19
"Chaetadelpha","Chaetadelpha","Asteraceae","Asterales",1
"Chaetanthera","Chaetanthera","Asteraceae","Asterales",48
"Chaetopappa","Chaetopappa","Asteraceae","Asterales",11
"Chaetoseris","Chaetoseris","Asteraceae","Asterales",22
"Chamaechaenactis","Chamaechaenactis","Asteraceae","Asterales",1
"Chamaegeron","Chamaegeron","Asteraceae","Asterales",4
"Chamaeleon","Chamaeleon","Asteraceae","Asterales",1
"Chamaemelum","Chamaemelum","Asteraceae","Asterales",4
"Chamaepus","Chamaepus","Asteraceae","Asterales",1
"Chaptalia","Chaptalia","Asteraceae","Asterales",68
"Charadranaetes","Charadranaetes","Asteraceae","Asterales",1
"Chardinia","Chardinia","Asteraceae","Asterales",1
"Cheirolophus","Cheirolophus","Asteraceae","Asterales",25
"Chersodoma","Chersodoma","Asteraceae","Asterales",10
"Chevreulia","Chevreulia","Asteraceae","Asterales",8
"Chihuahuana","Chihuahuana","Asteraceae","Asterales",1
"Chiliadenus","Chiliadenus","Asteraceae","Asterales",6
"Chiliocephalum","Chiliocephalum","Asteraceae","Asterales",2
"Chiliophyllum","Chiliophyllum","Asteraceae","Asterales",3
"Chiliotrichiopsis","Chiliotrichiopsis","Asteraceae","Asterales",4
"Chiliotrichum","Chiliotrichum","Asteraceae","Asterales",4
"Chimantaea","Chimantaea","Asteraceae","Asterales",9
"Chionolaena","Chionolaena","Asteraceae","Asterales",19
"Chionopappus","Chionopappus","Asteraceae","Asterales",1
"Chlaenobolus","Chlaenobolus","Asteraceae","Asterales",1
"Chlamydophora","Chlamydophora","Asteraceae","Asterales",1
"Chlamysperma","Chlamysperma","Asteraceae","Asterales",1
"Chloracantha","Chloracantha","Asteraceae","Asterales",1
"Chondrilla","Chondrilla","Asteraceae","Asterales",29
"Chondrophora","Chondrophora","Asteraceae","Asterales",1
"Chondropyxis","Chondropyxis","Asteraceae","Asterales",1
"Chorisis","Chorisis","Asteraceae","Asterales",1
"Chorisiva","Chorisiva","Asteraceae","Asterales",1
"Chresta","Chresta","Asteraceae","Asterales",13
"Chromolaena","Chromolaena","Asteraceae","Asterales",137
"Chromolepis","Chromolepis","Asteraceae","Asterales",1
"Chronopappus","Chronopappus","Asteraceae","Asterales",1
"Chrysactinia","Chrysactinia","Asteraceae","Asterales",6
"Chrysactinium","Chrysactinium","Asteraceae","Asterales",7
"Chrysanthellum","Chrysanthellum","Asteraceae","Asterales",13
"Chrysanthemoides","Chrysanthemoides","Asteraceae","Asterales",2
"Chrysanthemum","Chrysanthemum","Asteraceae","Asterales",43
"Chrysanthoglossum","Chrysanthoglossum","Asteraceae","Asterales",2
"Chrysocephalum","Chrysocephalum","Asteraceae","Asterales",8
"Chrysocoma","Chrysocoma","Asteraceae","Asterales",21
"Chrysogonum","Chrysogonum","Asteraceae","Asterales",2
"Chrysolaena","Chrysolaena","Asteraceae","Asterales",9
"Chrysoma","Chrysoma","Asteraceae","Asterales",1
"Chrysophthalmum","Chrysophthalmum","Asteraceae","Asterales",4
"Chrysopsis","Chrysopsis","Asteraceae","Asterales",11
"Chrysothamnus","Chrysothamnus","Asteraceae","Asterales",13
"Chthonocephalus","Chthonocephalus","Asteraceae","Asterales",7
"Chucoa","Chucoa","Asteraceae","Asterales",2
"Chuquiraga","Chuquiraga","Asteraceae","Asterales",22
"Cicerbita","Cicerbita","Asteraceae","Asterales",23
"Ciceronia","Ciceronia","Asteraceae","Asterales",1
"Cichorium","Cichorium","Asteraceae","Asterales",6
"Cineraria","Cineraria","Asteraceae","Asterales",51
"Cirsiocarduus","Cirsiocarduus","Asteraceae","Asterales",6
"Cirsium","Cirsium","Asteraceae","Asterales",484
"Cissampelopsis","Cissampelopsis","Asteraceae","Asterales",10
"Cladanthus","Cladanthus","Asteraceae","Asterales",5
"Cladochaeta","Cladochaeta","Asteraceae","Asterales",1
"Clappia","Clappia","Asteraceae","Asterales",1
"Clibadium","Clibadium","Asteraceae","Asterales",39
"Cloiselia","Cloiselia","Asteraceae","Asterales",1
"Cnicothamnus","Cnicothamnus","Asteraceae","Asterales",2
"Cnicus","Cnicus","Asteraceae","Asterales",9
"Codonocephalum","Codonocephalum","Asteraceae","Asterales",1
"Coespeletia","Coespeletia","Asteraceae","Asterales",6
"Coleocoma","Coleocoma","Asteraceae","Asterales",1
"Coleosanthus","Coleosanthus","Asteraceae","Asterales",2
"Coleostephus","Coleostephus","Asteraceae","Asterales",3
"Colobanthera","Colobanthera","Asteraceae","Asterales",1
"Cololobus","Cololobus","Asteraceae","Asterales",1
"Columbiadoria","Columbiadoria","Asteraceae","Asterales",1
"Comaclinium","Comaclinium","Asteraceae","Asterales",1
"Comborhiza","Comborhiza","Asteraceae","Asterales",2
"Commidendrum","Commidendrum","Asteraceae","Asterales",5
